"Facility Name","Facility ID","State","Fiscal Year","PSI-90 Start Date","PSI-90 End Date","PSI-90 W Z Score","PSI-90 Footnote","CLABSI W Z Score","CLABSI Footnote","CAUTI W Z Score","CAUTI Footnote","SSI W Z Score","SSI Footnote","MRSA W Z Score","MRSA Footnote","CDI W Z Score","CDI Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
LAKE REGION HEALTHCARE CORPORATION,240052,MN,2020,07/01/2016,06/30/2018,0.3193,,N/A,5,0.8780,,0.5374,,N/A,5,-0.8177,,01/01/2017,12/31/2018,0.2293,,No,
PARK NICOLLET METHODIST HOSPITAL,240053,MN,2020,07/01/2016,06/30/2018,-0.2596,,-0.7876,,-0.6878,,-0.4113,,-0.5126,,-0.1897,,01/01/2017,12/31/2018,-0.4747,,No,
RIDGEVIEW MEDICAL CENTER,240056,MN,2020,07/01/2016,06/30/2018,0.2045,,0.4815,,-0.0208,,0.3901,,-1.4453,,0.8501,,01/01/2017,12/31/2018,0.0767,,No,
ABBOTT NORTHWESTERN HOSPITAL,240057,MN,2020,07/01/2016,06/30/2018,0.1336,,0.2110,,0.3896,,0.7806,,-1.1763,,-0.1596,,01/01/2017,12/31/2018,0.0298,,No,
REGINA HOSPITAL,240059,MN,2020,07/01/2016,06/30/2018,-0.2554,,N/A,5,N/A,5,N/A,5,N/A,5,0.5255,,01/01/2017,12/31/2018,0.1351,,No,
ST JOSEPH'S HOSPITAL,240063,MN,2020,07/01/2016,06/30/2018,2.3575,,-1.0481,,-0.3021,,0.3827,,-0.1108,,0.3002,,01/01/2017,12/31/2018,0.2632,,No,
GRAND ITASCA CLINIC AND HOSPITAL,240064,MN,2020,07/01/2016,06/30/2018,-0.3008,,N/A,5,N/A,5,N/A,5,N/A,5,-0.1536,,01/01/2017,12/31/2018,-0.2272,,No,
LAKEVIEW MEMORIAL HOSPITAL,240066,MN,2020,07/01/2016,06/30/2018,-0.2685,,N/A,5,1.6191,,-1.5000,,N/A,5,-0.7786,,01/01/2017,12/31/2018,-0.2320,,No,
OWATONNA HOSPITAL,240069,MN,2020,07/01/2016,06/30/2018,-0.2791,,N/A,5,N/A,5,0.1156,,N/A,5,0.1379,,01/01/2017,12/31/2018,-0.0085,,No,
DISTRICT ONE HOSPITAL,240071,MN,2020,07/01/2016,06/30/2018,-0.1910,,N/A,5,N/A,5,N/A,5,N/A,5,1.8207,,01/01/2017,12/31/2018,0.8149,,Yes,
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,240075,MN,2020,07/01/2016,06/30/2018,0.4033,,-1.4459,,-1.5354,,-0.2344,,-1.4453,,-0.8327,,01/01/2017,12/31/2018,-0.8484,,No,
BUFFALO HOSPITAL,240076,MN,2020,07/01/2016,06/30/2018,-0.4296,,N/A,5,N/A,5,-1.5000,,N/A,5,-0.6554,,01/01/2017,12/31/2018,-0.8617,,No,
FAIRVIEW SOUTHDALE HOSPITAL,240078,MN,2020,07/01/2016,06/30/2018,-1.5258,,-0.1769,,1.1953,,-0.2879,,-0.8223,,1.3730,,01/01/2017,12/31/2018,-0.0408,,No,
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",240080,MN,2020,07/01/2016,06/30/2018,-0.6525,,1.4899,,0.7336,,1.2319,,-0.3550,,1.9710,,01/01/2017,12/31/2018,0.7365,,Yes,
ESSENTIA HEALTH VIRGINIA,240084,MN,2020,07/01/2016,06/30/2018,0.2116,,N/A,5,N/A,5,-0.4094,,N/A,5,0.2220,,01/01/2017,12/31/2018,0.0081,,No,
CARRIS HEALTH LLC,240088,MN,2020,07/01/2016,06/30/2018,-0.0102,,N/A,5,0.2566,,-0.4187,,N/A,5,1.5623,,01/01/2017,12/31/2018,0.3475,,Yes,
MAYO CLINIC HEALTH SYSTEM - MANKATO,240093,MN,2020,07/01/2016,06/30/2018,-0.7333,,-0.6026,,0.9825,,0.7640,,-0.9887,,0.8651,,01/01/2017,12/31/2018,0.0478,,No,
SANFORD BEMIDJI MEDICAL CENTER,240100,MN,2020,07/01/2016,06/30/2018,2.3575,,2.1941,,1.0528,,0.6001,,-1.4453,,0.7239,,01/01/2017,12/31/2018,0.9138,,Yes,
ESSENTIA HEALTH ST MARYS - DETROIT LAKES,240101,MN,2020,07/01/2016,06/30/2018,-0.4641,,N/A,5,N/A,5,0.8874,,N/A,5,-1.6681,,01/01/2017,12/31/2018,-0.4149,,No,
ST FRANCIS REGIONAL MEDICAL CENTER,240104,MN,2020,07/01/2016,06/30/2018,0.1033,,-1.4459,,1.2752,,0.4619,,-1.4453,,0.2761,,01/01/2017,12/31/2018,-0.1291,,No,
REGIONS HOSPITAL,240106,MN,2020,07/01/2016,06/30/2018,-0.6148,,-0.5707,,-0.2451,,-0.1000,,-0.0913,,-0.8688,,01/01/2017,12/31/2018,-0.4151,,No,
MERCY HOSPITAL,240115,MN,2020,07/01/2016,06/30/2018,-1.5258,,-0.0198,,-0.3040,,1.2725,,-0.7373,,-0.1145,,01/01/2017,12/31/2018,-0.2382,,No,
FAIRVIEW NORTHLAND REGIONAL HOSPITAL,240141,MN,2020,07/01/2016,06/30/2018,-0.3071,,N/A,5,N/A,5,2.0996,,N/A,5,-0.6314,,01/01/2017,12/31/2018,0.3870,,Yes,
MAYO CLINIC HEALTH SYSTEM - FAIRMONT,240166,MN,2020,07/01/2016,06/30/2018,-0.3457,,N/A,5,N/A,5,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.8126,,Yes,
HUTCHINSON HEALTH,240187,MN,2020,07/01/2016,06/30/2018,-0.0230,,N/A,5,N/A,5,2.0996,,N/A,5,0.2160,,01/01/2017,12/31/2018,0.7642,,Yes,
PHILLIPS EYE INSTITUTE,240196,MN,2020,07/01/2016,06/30/2018,0.0676,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0676,,No,
RED LAKE HOSPITAL A,240206,MN,2020,07/01/2016,06/30/2018,0.0828,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0828,,No,
FAIRVIEW RIDGES HOSPITAL,240207,MN,2020,07/01/2016,06/30/2018,-1.1638,,1.5556,,0.9787,,-0.3450,,-0.3692,,1.2227,,01/01/2017,12/31/2018,0.3132,,No,
HEALTHEAST ST JOHN'S HOSPITAL,240210,MN,2020,07/01/2016,06/30/2018,2.3575,,-0.1471,,0.2319,,0.4453,,-1.4453,,-0.3339,,01/01/2017,12/31/2018,0.1847,,No,
HEALTHEAST WOODWINDS HOSPITAL,240213,MN,2020,07/01/2016,06/30/2018,1.2762,,0.4954,,-0.6688,,0.7695,,-1.4453,,-1.1783,,01/01/2017,12/31/2018,-0.1252,,No,
MAPLE GROVE HOSPITAL,240214,MN,2020,07/01/2016,06/30/2018,-0.4488,,-1.4459,,0.2110,,1.5598,,-1.4453,,-0.6615,,01/01/2017,12/31/2018,-0.3718,,No,
UNIVERSITY OF MISSISSIPPI MED CENTER,250001,MS,2020,07/01/2016,06/30/2018,2.3575,,0.4119,,-0.3971,,1.5930,,0.7564,,-0.2678,,01/01/2017,12/31/2018,0.7423,,Yes,
TISHOMINGO HEALTH SERVICES INC,250002,MS,2020,07/01/2016,06/30/2018,-0.1186,,N/A,5,N/A,5,N/A,5,N/A,5,1.3219,,01/01/2017,12/31/2018,0.6017,,Yes,
NORTH MISSISSIPPI MEDICAL CENTER,250004,MS,2020,07/01/2016,06/30/2018,-1.5258,,-0.8870,,0.0001,,0.9096,,-0.4559,,-0.0815,,01/01/2017,12/31/2018,-0.3401,,No,
BAPTIST MEMORIAL HOSPITAL UNION COUNTY,250006,MS,2020,07/01/2016,06/30/2018,-0.8042,,N/A,5,-0.0836,,-1.5000,,N/A,5,-0.1566,,01/01/2017,12/31/2018,-0.6361,,No,
MERIT HEALTH BILOXI,250007,MS,2020,07/01/2016,06/30/2018,-0.3552,,0.4775,,-1.0850,,0.3845,,-0.4223,,-1.1423,,01/01/2017,12/31/2018,-0.3571,,No,
MAGNOLIA REGIONAL HEALTH CENTER,250009,MS,2020,07/01/2016,06/30/2018,1.9689,,2.1941,,-0.1919,,-1.1224,,-0.8913,,-0.1085,,01/01/2017,12/31/2018,0.3082,,No,
ALLIANCE HEALTHCARE SYSTEM,250012,MS,2020,07/01/2016,06/30/2018,-0.0163,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0163,,No,
TRACE REGIONAL HOSP AND SWING BED,250017,MS,2020,07/01/2016,06/30/2018,0.0274,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0274,,No,
JASPER GENERAL HOSPITAL,250018,MS,2020,07/01/2016,06/30/2018,0.0860,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0860,,No,
MEMORIAL HOSPITAL AT GULFPORT,250019,MS,2020,07/01/2016,06/30/2018,2.3575,,-0.2843,,-0.4636,,-0.3487,,-0.2258,,1.0063,,01/01/2017,12/31/2018,0.3402,,Yes,
WEBSTER GENERAL HOSPITAL/ SWING BED,250020,MS,2020,07/01/2016,06/30/2018,-0.2886,,N/A,5,-1.5354,,N/A,5,N/A,5,0.3182,,01/01/2017,12/31/2018,-0.5019,,No,
NORTH MISSISSIPPI MEDICAL CENTER-GILMORE AMORY,250025,MS,2020,07/01/2016,06/30/2018,0.0070,,N/A,5,-0.6270,,-0.9824,,N/A,5,-1.9626,,01/01/2017,12/31/2018,-0.8913,,No,
WINSTON MEDICAL CENTER & SWINGBED,250027,MS,2020,07/01/2016,06/30/2018,-0.0240,,N/A,5,N/A,5,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.9735,,Yes,
MERIT HEALTH RIVER REGION,250031,MS,2020,07/01/2016,06/30/2018,2.3575,,0.4855,,0.1274,,0.0382,,2.2502,,-0.5052,,01/01/2017,12/31/2018,0.7923,,Yes,
BAPTIST MEMORIAL HOSPITAL NORTH MS,250034,MS,2020,07/01/2016,06/30/2018,-0.3892,,0.0558,,-0.1881,,-0.1202,,1.1210,,0.9553,,01/01/2017,12/31/2018,0.2391,,No,
GEORGE REGIONAL HEALTH SYSTEM,250036,MS,2020,07/01/2016,06/30/2018,-0.2521,,N/A,5,0.2471,,N/A,5,N/A,5,-0.9559,,01/01/2017,12/31/2018,-0.3203,,No,
MERIT HEALTH MADISON,250038,MS,2020,07/01/2016,06/30/2018,-0.0064,,N/A,5,-1.5354,,N/A,5,N/A,5,-1.1182,,01/01/2017,12/31/2018,-0.8867,,No,
SINGING RIVER HEALTH SYSTEM,250040,MS,2020,07/01/2016,06/30/2018,-1.0696,,0.4855,,-0.1330,,-0.5716,,-0.7957,,0.9973,,01/01/2017,12/31/2018,-0.1812,,No,
NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,250042,MS,2020,07/01/2016,06/30/2018,0.9774,,0.0140,,0.4162,,-0.4205,,0.0803,,0.0327,,01/01/2017,12/31/2018,0.1834,,No,
NESHOBA COUNTY GENERAL HOSPITAL,250043,MS,2020,07/01/2016,06/30/2018,-0.1170,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.0398,,No,
BAPTIST MEMORIAL HOSPITAL BOONEVILLE,250044,MS,2020,07/01/2016,06/30/2018,-0.1724,,N/A,5,N/A,5,N/A,5,N/A,5,-0.5443,,01/01/2017,12/31/2018,-0.3583,,No,
ST DOMINIC-JACKSON MEMORIAL HOSPITAL,250048,MS,2020,07/01/2016,06/30/2018,2.3575,,0.0777,,0.1103,,-0.6526,,0.1741,,-0.0905,,01/01/2017,12/31/2018,0.3294,,No,
BEACHAM MEMORIAL HOSPITAL,250049,MS,2020,07/01/2016,06/30/2018,-0.0541,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0541,,No,
OCH REGIONAL MEDICAL CENTER,250050,MS,2020,07/01/2016,06/30/2018,-0.9106,,N/A,5,-0.8437,,-0.5218,,N/A,5,-0.8237,,01/01/2017,12/31/2018,-0.7750,,No,
KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,250057,MS,2020,07/01/2016,06/30/2018,-0.0490,,N/A,5,-1.5354,,0.6019,,-1.4453,,0.0327,,01/01/2017,12/31/2018,-0.4790,,No,
SOUTH CENTRAL REG MED CTR,250058,MS,2020,07/01/2016,06/30/2018,-0.7808,,-1.1595,,-1.2674,,-0.9418,,0.2042,,-1.3827,,01/01/2017,12/31/2018,-0.8880,,No,
JEFFERSON COUNTY HOSPITAL,250060,MS,2020,07/01/2016,06/30/2018,0.0253,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0253,,No,
YALOBUSHA GENERAL HOSPITAL,250061,MS,2020,07/01/2016,06/30/2018,-0.0987,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0987,,No,
NORTH MISSISSIPPI MEDICAL CENTER-WEST POINT,250067,MS,2020,07/01/2016,06/30/2018,-0.3827,,N/A,5,-1.5354,,2.0996,,N/A,5,-0.4391,,01/01/2017,12/31/2018,-0.0644,,No,
RUSH FOUNDATION HOSPITAL,250069,MS,2020,07/01/2016,06/30/2018,1.1272,,2.1941,,1.4367,,1.0201,,0.4662,,-0.2438,,01/01/2017,12/31/2018,1.0001,,Yes,
MERIT HEALTH CENTRAL,250072,MS,2020,07/01/2016,06/30/2018,0.1459,,2.0190,,0.9236,,2.0996,,0.9830,,-0.8658,,01/01/2017,12/31/2018,0.8842,,Yes,
WAYNE GENERAL HOSPITAL,250077,MS,2020,07/01/2016,06/30/2018,-0.3473,,N/A,5,-1.5354,,N/A,5,N/A,5,-1.6080,,01/01/2017,12/31/2018,-1.1636,,No,
FORREST GENERAL HOSPITAL,250078,MS,2020,07/01/2016,06/30/2018,2.3575,,0.8435,,-0.6859,,0.5245,,-0.7993,,-0.1115,,01/01/2017,12/31/2018,0.3548,,Yes,
SHARKEY ISSAQUENA COMMUNITY HOSPITAL,250079,MS,2020,07/01/2016,06/30/2018,-0.0308,,N/A,5,N/A,5,N/A,5,2.2502,18,1.9710,18,01/01/2017,12/31/2018,1.3968,,Yes,
ANDERSON RMC SOUTH,250081,MS,2020,07/01/2016,06/30/2018,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,1.9710,,Yes,
DELTA REGIONAL MEDICAL CENTER,250082,MS,2020,07/01/2016,06/30/2018,0.3603,,1.5297,,-0.4503,,-0.8810,,2.2502,,-0.9950,,01/01/2017,12/31/2018,0.3023,,No,
MERIT HEALTH NATCHEZ,250084,MS,2020,07/01/2016,06/30/2018,0.0103,,2.1941,,-0.8646,,-0.6489,,2.2502,,-1.5810,,01/01/2017,12/31/2018,0.2267,,No,
MARION GENERAL HOSPITAL,250085,MS,2020,07/01/2016,06/30/2018,-0.0998,,N/A,5,2.1854,,N/A,5,N/A,5,0.7209,,01/01/2017,12/31/2018,0.9355,,Yes,
BOLIVAR MEDICAL CENTER,250093,MS,2020,07/01/2016,06/30/2018,-1.1652,,-1.4459,,-1.5354,,-1.5000,,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.5218,,No,
MERIT HEALTH WESLEY,250094,MS,2020,07/01/2016,06/30/2018,1.0390,,-0.0078,,-0.8247,,2.0996,,-0.8772,,-1.0160,,01/01/2017,12/31/2018,0.0688,,No,
SOUTH SUNFLOWER COUNTY HOSPITAL,250095,MS,2020,07/01/2016,06/30/2018,0.9798,,N/A,5,N/A,5,N/A,5,N/A,5,-0.7546,,01/01/2017,12/31/2018,0.1126,,No,
MERIT HEALTH RANKIN,250096,MS,2020,07/01/2016,06/30/2018,-0.7903,,-0.1849,,-0.4389,,N/A,5,N/A,5,0.7058,,01/01/2017,12/31/2018,-0.1771,,No,
SOUTHWEST MS REGIONAL MEDICAL CENTER,250097,MS,2020,07/01/2016,06/30/2018,-0.4823,,1.5059,,-0.7088,,-0.9363,,-0.5904,,-1.2685,,01/01/2017,12/31/2018,-0.4134,,No,
GREENWOOD LEFLORE HOSPITAL,250099,MS,2020,07/01/2016,06/30/2018,1.7219,,1.6670,,-0.9216,,-0.8829,,-0.2630,,-0.1025,,01/01/2017,12/31/2018,0.2031,,No,
BAPTIST MEMORIAL HOSPITAL GOLDEN TRIANGLE INC,250100,MS,2020,07/01/2016,06/30/2018,-0.6266,,-1.4459,,-1.0736,,1.7588,,0.3016,,0.2310,,01/01/2017,12/31/2018,-0.1425,,No,
MISSISSIPPI BAPTIST MEDICAL CENTER,250102,MS,2020,07/01/2016,06/30/2018,-0.8209,,0.2269,,-0.7240,,1.0846,,-0.1126,,0.6638,,01/01/2017,12/31/2018,0.0530,,No,
ANDERSON REGIONAL MEDICAL CTR,250104,MS,2020,07/01/2016,06/30/2018,0.5697,,-0.2664,,-0.1938,,0.4398,,0.9033,,0.0958,,01/01/2017,12/31/2018,0.2581,,No,
HIGHLAND COMMUNITY  HOSPITAL,250117,MS,2020,07/01/2016,06/30/2018,0.4060,,N/A,5,-1.5354,,N/A,5,N/A,5,-1.0191,,01/01/2017,12/31/2018,-0.7162,,No,
GARDEN PARK MEDICAL CENTER,250123,MS,2020,07/01/2016,06/30/2018,-0.8056,,0.5113,,-0.2071,,-0.5660,,1.1653,,-0.3670,,01/01/2017,12/31/2018,-0.0448,,No,
MAGEE GENERAL HOSPITAL,250124,MS,2020,07/01/2016,06/30/2018,1.1138,,N/A,5,N/A,5,N/A,5,N/A,5,-0.8688,,01/01/2017,12/31/2018,0.1225,,No,
NORTH OAK REGIONAL MEDICAL CENTER,250126,MS,2020,07/01/2016,06/30/2018,1.1650,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,1.1650,,Yes,
CHOCTAW HEALTH CENTER,250127,MS,2020,07/01/2016,06/30/2018,0.0610,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0610,,No,
PANOLA MEDICAL CENTER,250128,MS,2020,07/01/2016,06/30/2018,0.2011,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-0.8808,,No,
WHITFIELD MEDICAL SURGICAL HOSPITAL,250134,MS,2020,07/01/2016,06/30/2018,0.0021,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0021,,No,
MERIT HEALTH WOMEN'S HOSPITAL,250136,MS,2020,07/01/2016,06/30/2018,0.0036,,N/A,5,N/A,5,-1.5000,,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.1530,,No,
MERIT HEALTH RIVER OAKS,250138,MS,2020,07/01/2016,06/30/2018,-0.5455,,0.5869,,-0.5985,,-0.4813,,1.9352,,0.0357,,01/01/2017,12/31/2018,0.1554,,No,
BAPTIST MEMORIAL HOSPITAL DESOTO,250141,MS,2020,07/01/2016,06/30/2018,1.7341,,2.0787,,0.3459,,0.4766,,2.2484,,1.5412,,01/01/2017,12/31/2018,1.4042,,Yes,
ALLIANCE HEALTH CENTER,250151,MS,2020,07/01/2016,06/30/2018,-0.0370,,N/A,5,N/A,5,N/A,5,-1.4453,,-1.9626,,01/01/2017,12/31/2018,-1.1483,,No,
MISSISSIPPI METHODIST REHAB CTR,250152,MS,2020,07/01/2016,06/30/2018,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,N/A,5,No,
OCHSNER MEDICAL CENTER-HANCOCK,250162,MS,2020,07/01/2016,06/30/2018,-0.9339,,N/A,5,2.1854,,1.0864,,N/A,5,-1.9626,,01/01/2017,12/31/2018,0.0938,,No,
PATIENTS CHOICE MEDICAL CENTER,250163,MS,2020,07/01/2016,06/30/2018,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,N/A,5,No,
METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,250167,MS,2020,07/01/2016,06/30/2018,-0.6705,,-0.4216,,N/A,5,N/A,5,N/A,5,-1.8424,,01/01/2017,12/31/2018,-0.9782,,No,
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,250168,MS,2020,07/01/2016,06/30/2018,-1.1232,,-0.4594,,-0.5776,,1.9559,,N/A,5,-0.3159,,01/01/2017,12/31/2018,-0.1040,,No,
MERCY HOSPITAL JOPLIN,260001,MO,2020,07/01/2016,06/30/2018,-1.5258,,0.6207,,0.9711,,-0.6231,,-0.0577,,-0.7366,,01/01/2017,12/31/2018,-0.2252,,No,
COOPER COUNTY COMMUNITY HOSPITAL,260004,MO,2020,07/01/2016,06/30/2018,0.0508,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0508,,No,
SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES,260005,MO,2020,07/01/2016,06/30/2018,-0.0457,,1.8241,,1.0509,,1.6206,,2.2502,,-0.2738,,01/01/2017,12/31/2018,1.0711,,Yes,
MOSAIC LIFE CARE AT ST JOSEPH,260006,MO,2020,07/01/2016,06/30/2018,-1.0068,,0.6466,,0.2471,,-0.6139,,0.4821,,1.2588,,01/01/2017,12/31/2018,0.1690,,No,
BOTHWELL REGIONAL HEALTH CENTER,260009,MO,2020,07/01/2016,06/30/2018,-0.3432,,N/A,5,0.2680,,-0.3929,,-0.2471,,-0.8628,,01/01/2017,12/31/2018,-0.3156,,No,
SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,260011,MO,2020,07/01/2016,06/30/2018,-0.0684,,1.7764,,-0.5054,,0.5761,,2.1582,,0.8861,,01/01/2017,12/31/2018,0.8038,,Yes,
PHELPS HEALTH,260017,MO,2020,07/01/2016,06/30/2018,-1.3881,,0.9628,,-0.6536,,-0.1700,,0.0131,,-0.0965,,01/01/2017,12/31/2018,-0.2221,,No,
MERCY HOSPITAL ST LOUIS,260020,MO,2020,07/01/2016,06/30/2018,-1.5258,,-0.4673,,-0.2774,,-0.8976,,-0.2896,,-0.4451,,01/01/2017,12/31/2018,-0.6505,,No,
NORTHEAST REGIONAL MEDICAL CENTER,260022,MO,2020,07/01/2016,06/30/2018,-0.1124,,-1.4459,,2.0562,,-0.5660,,0.0166,,1.3910,,01/01/2017,12/31/2018,0.2232,,No,
MERCY HOSPITAL JEFFERSON,260023,MO,2020,07/01/2016,06/30/2018,-1.3082,,0.7599,,0.0476,,-0.3708,,1.3812,,0.0598,,01/01/2017,12/31/2018,0.0949,,No,
TEXAS COUNTY MEMORIAL HOSPITAL,260024,MO,2020,07/01/2016,06/30/2018,0.9501,,N/A,5,N/A,5,N/A,5,N/A,5,0.7449,,01/01/2017,12/31/2018,0.8475,,Yes,
HANNIBAL REGIONAL HOSPITAL,260025,MO,2020,07/01/2016,06/30/2018,-0.7862,,-0.1331,,0.1027,,0.7051,,-0.1462,,1.9710,,01/01/2017,12/31/2018,0.2855,,No,
RESEARCH MEDICAL CENTER,260027,MO,2020,07/01/2016,06/30/2018,0.3987,,-0.0297,,1.0566,,1.0661,,-0.3143,,0.5826,,01/01/2017,12/31/2018,0.4600,,Yes,
BARNES JEWISH HOSPITAL,260032,MO,2020,07/01/2016,06/30/2018,0.2173,,0.3184,,-0.1615,,0.3587,,-0.2081,,0.3993,,01/01/2017,12/31/2018,0.1540,,No,
BATES COUNTY MEMORIAL HOSPITAL,260034,MO,2020,07/01/2016,06/30/2018,-0.1942,,N/A,5,N/A,5,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.8884,,Yes,
COX MEDICAL CENTERS,260040,MO,2020,07/01/2016,06/30/2018,-0.2411,,0.2209,,0.2167,,-0.1018,,-0.9426,,0.2791,,01/01/2017,12/31/2018,-0.0948,,No,
CAPITAL REGION MEDICAL CENTER,260047,MO,2020,07/01/2016,06/30/2018,0.7073,,0.3243,,-0.3287,,-1.0561,,-1.4453,,0.7088,,01/01/2017,12/31/2018,-0.1816,,No,
TRUMAN MEDICAL CENTER HOSPITAL HILL,260048,MO,2020,07/01/2016,06/30/2018,1.3147,,1.1637,,0.6101,,0.9114,,-0.5550,,0.7750,,01/01/2017,12/31/2018,0.7033,,Yes,
MOSAIC MEDICAL CENTER - MARYVILLE,260050,MO,2020,07/01/2016,06/30/2018,-0.1901,,N/A,5,N/A,5,N/A,5,N/A,5,-0.7546,,01/01/2017,12/31/2018,-0.4723,,No,
MERCY HOSPITAL WASHINGTON,260052,MO,2020,07/01/2016,06/30/2018,-1.3746,,-0.3500,,-1.0394,,0.8377,,-0.5586,,-0.8508,,01/01/2017,12/31/2018,-0.5559,,No,
CAMERON REGIONAL MEDICAL CENTER,260057,MO,2020,07/01/2016,06/30/2018,0.0663,,-1.4459,,-0.8988,,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.0603,,No,
MERCY HOSPITAL LEBANON,260059,MO,2020,07/01/2016,06/30/2018,-0.3574,,N/A,5,N/A,5,N/A,5,N/A,5,0.0297,,01/01/2017,12/31/2018,-0.1639,,No,
NEVADA REGIONAL MEDICAL CENTER,260061,MO,2020,07/01/2016,06/30/2018,-0.1204,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.1204,,No,
SAINT LUKES NORTH HOSPITAL,260062,MO,2020,07/01/2016,06/30/2018,0.5576,,-1.4459,,-0.7126,,0.9298,,-0.0329,,-0.0274,,01/01/2017,12/31/2018,-0.1219,,No,
SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN,260064,MO,2020,07/01/2016,06/30/2018,-0.4050,,N/A,5,-1.5354,,-1.5000,,N/A,5,-0.7246,,01/01/2017,12/31/2018,-1.0412,,No,
MERCY HOSPITAL SPRINGFIELD,260065,MO,2020,07/01/2016,06/30/2018,-1.1671,,0.4258,,0.6367,,0.5172,,-0.2683,,-0.1686,,01/01/2017,12/31/2018,-0.0041,,No,
BOONE HOSPITAL CENTER,260068,MO,2020,07/01/2016,06/30/2018,-1.0150,,0.1692,,-0.4636,,0.2390,,-0.3515,,-0.7035,,01/01/2017,12/31/2018,-0.3542,,No,
PEMISCOT COUNTY MEMORIAL HOSPITAL,260070,MO,2020,07/01/2016,06/30/2018,-0.3164,,N/A,5,-0.5054,,N/A,5,N/A,5,1.8628,,01/01/2017,12/31/2018,0.3470,,Yes,
MOBERLY REGIONAL MEDICAL CENTER,260074,MO,2020,07/01/2016,06/30/2018,2.3575,,N/A,5,0.5740,,N/A,5,N/A,5,-1.3857,,01/01/2017,12/31/2018,0.5153,,Yes,
MERCY HOSPITAL SOUTH,260077,MO,2020,07/01/2016,06/30/2018,-0.3609,,-1.0859,,0.4067,,1.6169,,-0.0984,,0.6908,,01/01/2017,12/31/2018,0.1949,,No,
OZARKS MEDICAL CENTER,260078,MO,2020,07/01/2016,06/30/2018,-0.4852,,2.1941,,-1.5354,,-0.7926,,-1.4453,,-1.0371,,01/01/2017,12/31/2018,-0.5169,,No,
SSM HEALTH ST CLARE HOSPITAL - FENTON,260081,MO,2020,07/01/2016,06/30/2018,2.3575,,-1.1456,,0.0970,,-1.1482,,0.0680,,-0.2137,,01/01/2017,12/31/2018,0.0025,,No,
ST JOSEPH MEDICAL CENTER,260085,MO,2020,07/01/2016,06/30/2018,-1.5258,,-1.4459,,-1.0774,,-0.8516,,-0.7250,,0.2581,,01/01/2017,12/31/2018,-0.8946,,No,
SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,260091,MO,2020,07/01/2016,06/30/2018,1.1068,,0.1055,,0.4390,,0.3808,,-0.0542,,-0.1987,,01/01/2017,12/31/2018,0.2966,,No,
